iter	Passed	Remaining
719	18565	7219
720	18592	7194
721	18618	7168
722	18643	7142
723	18670	7117
724	18696	7091
725	18723	7066
726	18750	7041
727	18774	7014
728	18799	6988
729	18825	6962
730	18851	6937
731	18877	6911
732	18903	6885
733	18930	6860
734	18955	6834
735	18979	6807
736	19006	6782
737	19032	6756
738	19058	6731
739	19084	6705
740	19110	6679
741	19134	6653
742	19160	6627
743	19184	6601
744	19210	6575
745	19234	6549
746	19260	6523
747	19283	6496
748	19308	6470
749	19333	6444
750	19358	6418
751	19383	6392
752	19407	6365
753	19435	6340
754	19460	6314
755	19486	6289
756	19511	6263
757	19536	6237
758	19564	6212
759	19589	6186
760	19615	6160
761	19641	6134
762	19668	6109
763	19693	6083
764	19719	6057
765	19742	6030
766	19768	6005
767	19791	5978
768	19815	5952
769	19840	5926
770	19866	5900
771	19892	5875
772	19919	5849
773	19944	5823
774	19969	5797
775	19994	5771
776	20019	5745
777	20045	5719
778	20070	5694
779	20095	5667
780	20119	5641
781	20143	5615
782	20169	5589
783	20196	5564
784	20224	5539
785	20249	5513
786	20274	5487
787	20300	5461
788	20325	5435
789	20352	5410
790	20377	5384
791	20402	5358
792	20429	5332
793	20456	5307
794	20482	5281
795	20507	5255
796	20533	5230
797	20558	5204
798	20584	5178
799	20609	5152
800	20633	5126
801	20660	5100
802	20686	5075
803	20711	5048
804	20735	5022
805	20762	4997
806	20786	4971
807	20811	4945
808	20839	4920
809	20868	4895
810	20894	4869
811	20920	4843
812	20948	4818
813	20974	4792
814	21000	4766
815	21026	4741
816	21052	4715
817	21078	4689
818	21102	4663
819	21127	4637
820	21155	4612
821	21179	4586
822	21204	4560
823	21230	4534
824	21256	4508
825	21281	4482
826	21308	4457
827	21334	4431
828	21362	4406
829	21388	4380
830	21413	4354
831	21441	4329
832	21467	4303
833	21493	4278
834	21521	4252
835	21547	4226
836	21573	4201
837	21599	4175
838	21625	4149
839	21649	4123
840	21675	4097
841	21698	4071
842	21726	4046
843	21750	4020
844	21774	3994
845	21800	3968
846	21827	3942
847	21851	3916
848	21876	3890
849	21901	3864
850	21927	3839
851	21954	3813
852	21981	3788
853	22009	3762
854	22032	3736
855	22057	3710
856	22083	3684
857	22109	3659
858	22135	3633
859	22161	3607
860	22185	3581
861	22209	3555
862	22234	3529
863	22259	3503
864	22284	3477
865	22310	3452
866	22336	3426
867	22363	3400
868	22386	3374
869	22412	3348
870	22437	3323
871	22463	3297
872	22488	3271
873	22514	3245
874	22538	3219
875	22562	3193
876	22589	3168
877	22617	3142
878	22642	3116
879	22667	3091
880	22690	3064
881	22715	3039
882	22741	3013
883	22767	2987
884	22792	2961
885	22818	2936
886	22845	2910
887	22869	2884
888	22896	2858
889	22921	2833
890	22949	2807
891	22976	2781
892	23004	2756
893	23030	2730
894	23056	2704
895	23082	2679
896	23111	2653
897	23136	2628
898	23160	2602
899	23186	2576
900	23211	2550
901	23238	2524
902	23263	2498
903	23289	2473
904	23312	2447
905	23337	2421
906	23362	2395
907	23387	2369
908	23413	2343
909	23441	2318
910	23467	2292
911	23492	2266
912	23519	2241
913	23543	2215
914	23569	2189
915	23595	2163
916	23623	2138
917	23649	2112
918	23674	2086
919	23699	2060
920	23724	2035
921	23754	2009
922	23779	1983
923	23803	1957
924	23826	1931
925	23852	1906
926	23876	1880
927	23902	1854
928	23928	1828
929	23954	1803
930	23979	1777
931	24006	1751
932	24035	1725
933	24060	1700
934	24086	1674
935	24112	1648
936	24138	1622
937	24161	1597
938	24186	1571
939	24211	1545
940	24236	1519
941	24259	1493
942	24284	1467
943	24309	1442
944	24334	1416
945	24359	1390
946	24382	1364
947	24406	1338
948	24432	1313
949	24458	1287
950	24483	1261
951	24508	1235
952	24534	1210
953	24561	1184
954	24585	1158
955	24610	1132
956	24633	1106
957	24658	1081
958	24682	1055
959	24707	1029
960	24732	1003
961	24757	977
962	24785	952
963	24810	926
964	24838	900
965	24861	875
966	24887	849
967	24911	823
968	24938	797
969	24964	772
970	24990	746
971	25017	720
972	25046	695
973	25071	669
974	25097	643
975	25123	617
976	25148	592
977	25173	566
978	25200	540
979	25226	514
980	25254	489
981	25284	463
982	25310	437
983	25334	411
984	25362	386
985	25388	360
986	25414	334
987	25439	308
988	25464	283
989	25489	257
990	25519	231
991	25547	206
992	25572	180
993	25600	154
994	25628	128
995	25653	103
996	25679	77
997	25704	51
998	25730	25
999	25756	0
